cycle_id,building_id,review_day,actual_g,predicted_g,lower_80_g,upper_80_g,lower_90_g,upper_90_g,covered_80,covered_90,target_status_80
2025-5,Lags 1,7,1306.0,1485.8667999999996,1144.9178526315784,1826.8157473684207,963.2183789473677,2008.5152210526314,True,True,Uncertain
2025-5,Lags 2,7,1176.0,1481.8667999999996,1140.9178526315784,1822.8157473684207,959.2183789473677,2004.5152210526314,True,True,Uncertain
2025-5,Lags 3,7,1182.0,1482.8667999999996,1141.9178526315784,1823.8157473684207,960.2183789473677,2005.5152210526314,True,True,Uncertain
2025-5,Tags 1,7,1702.0,1498.8667999999996,1157.9178526315784,1839.8157473684207,976.2183789473677,2021.5152210526314,True,True,Uncertain
2025-5,Tags 2,7,1776.0,1495.8667999999996,1154.9178526315784,1836.8157473684207,973.2183789473677,2018.5152210526314,True,True,Uncertain
2025-5,Tags 3,7,1738.0,1496.8667999999996,1155.9178526315784,1837.8157473684207,974.2183789473677,2019.5152210526314,True,True,Uncertain
2025-5,Lags 1,14,1306.0,1440.7767999999999,1157.579957894737,1723.9736421052628,1042.5199578947365,1839.0336421052632,True,True,Likely below
2025-5,Lags 2,14,1176.0,1392.7767999999999,1109.579957894737,1675.9736421052628,994.5199578947365,1791.0336421052632,True,True,Likely below
2025-5,Lags 3,14,1182.0,1405.7767999999999,1122.579957894737,1688.9736421052628,1007.5199578947365,1804.0336421052632,True,True,Likely below
2025-5,Tags 1,14,1702.0,1472.7767999999999,1189.579957894737,1755.9736421052628,1074.5199578947365,1871.0336421052632,True,True,Likely below
2025-5,Tags 2,14,1776.0,1500.7767999999999,1217.579957894737,1783.9736421052628,1102.5199578947365,1899.0336421052632,True,True,Likely below
2025-5,Tags 3,14,1738.0,1488.7767999999999,1205.579957894737,1771.9736421052628,1090.5199578947365,1887.0336421052632,True,True,Likely below
2025-5,Lags 1,21,1306.0,1370.5848,1191.1413000000002,1550.0283,1043.0974315789479,1698.0721684210523,True,True,Likely below
2025-5,Lags 2,21,1176.0,1290.5848,1111.1413000000002,1470.0283,963.0974315789479,1618.0721684210523,True,True,Likely below
2025-5,Lags 3,21,1182.0,1306.5848,1127.1413000000002,1486.0283,979.0974315789479,1634.0721684210523,True,True,Likely below
2025-5,Tags 1,21,1702.0,1417.5848,1238.1413000000002,1597.0283,1090.0974315789479,1745.0721684210523,False,True,Likely below
2025-5,Tags 2,21,1776.0,1519.5848,1340.1413000000002,1699.0283,1192.0974315789479,1847.0721684210523,False,True,Likely below
2025-5,Tags 3,21,1738.0,1555.5848,1376.1413000000002,1735.0283,1228.0974315789479,1883.0721684210523,False,True,Likely below
2025-5,Lags 1,28,1306.0,1357.1799999999998,1151.6399999999999,1562.7199999999998,1059.0209090909088,1655.3390909090908,True,True,Likely below
2025-5,Lags 2,28,1176.0,1189.1799999999998,983.6399999999999,1394.7199999999998,891.0209090909088,1487.3390909090908,True,True,Likely below
2025-5,Lags 3,28,1182.0,1191.1799999999998,985.6399999999999,1396.7199999999998,893.0209090909088,1489.3390909090908,True,True,Likely below
2025-5,Tags 1,28,1702.0,1597.1799999999998,1391.6399999999999,1802.7199999999998,1299.0209090909088,1895.3390909090908,True,True,Uncertain
2025-5,Tags 2,28,1776.0,1571.1799999999998,1365.6399999999999,1776.7199999999998,1273.0209090909088,1869.3390909090908,True,True,Likely below
2025-5,Tags 3,28,1738.0,1590.1799999999998,1384.6399999999999,1795.7199999999998,1292.0209090909088,1888.3390909090908,True,True,Likely below
2026-1,Lags 1,7,1605.9999999999998,1454.6272,1164.4787789473683,1744.7756210526315,1067.9671999999998,1841.2872,True,True,Likely below
2026-1,Lags 2,7,1972.0000000000002,1458.6272,1168.4787789473683,1748.7756210526315,1071.9671999999998,1845.2872,False,False,Likely below
2026-1,Lags 3,7,1691.4399999999998,1452.6272,1162.4787789473683,1742.7756210526315,1065.9671999999998,1839.2872,True,True,Likely below
2026-1,Tags 1,7,1446.68,1474.8372,1184.6887789473683,1764.9856210526316,1088.1771999999999,1861.4972,True,True,Likely below
2026-1,Tags 2,7,1550.16,1476.1172,1185.9687789473683,1766.2656210526316,1089.4571999999998,1862.7772,True,True,Likely below
2026-1,Tags 3,7,1691.4399999999998,1471.1571999999999,1181.0087789473682,1761.3056210526315,1084.4971999999998,1857.8172,True,True,Likely below
2026-1,Lags 1,14,1605.9999999999998,1514.7248000000002,1246.467957894737,1782.9816421052633,1200.467957894737,1828.9816421052633,True,True,Likely below
2026-1,Lags 2,14,1972.0000000000002,1590.2448000000002,1321.987957894737,1858.5016421052633,1275.987957894737,1904.5016421052633,False,False,Uncertain
2026-1,Lags 3,14,1691.4399999999998,1424.7448000000002,1156.487957894737,1693.0016421052633,1110.487957894737,1739.0016421052633,True,True,Likely below
2026-1,Tags 1,14,1446.68,1540.2048000000002,1271.947957894737,1808.4616421052633,1225.947957894737,1854.4616421052633,True,True,Uncertain
2026-1,Tags 2,14,1550.16,1496.2448000000002,1227.987957894737,1764.5016421052633,1181.987957894737,1810.5016421052633,True,True,Likely below
2026-1,Tags 3,14,1691.4399999999998,1514.7248000000002,1246.467957894737,1782.9816421052633,1200.467957894737,1828.9816421052633,True,True,Likely below
2026-1,Lags 1,21,1605.9999999999998,1501.2039999999997,1304.9039999999998,1697.5039999999997,1198.1566315789473,1804.2513684210521,True,True,Likely below
2026-1,Lags 2,21,1972.0000000000002,1777.204,1580.904,1973.504,1474.1566315789476,2080.2513684210526,True,True,Uncertain
2026-1,Lags 3,21,1691.4399999999998,1385.204,1188.904,1581.504,1082.1566315789476,1688.2513684210523,False,False,Likely below
2026-1,Tags 1,21,1446.68,1628.884,1432.584,1825.184,1325.8366315789476,1931.9313684210524,True,True,Uncertain
2026-1,Tags 2,21,1550.16,1670.484,1474.184,1866.7839999999999,1367.4366315789475,1973.5313684210523,True,True,Uncertain
2026-1,Tags 3,21,1691.4399999999998,1656.444,1460.144,1852.744,1353.3966315789476,1959.4913684210524,True,True,Uncertain
2026-1,Lags 1,28,1605.9999999999998,1545.0776,1349.4096,1740.7456000000002,1237.9439636363636,1852.2112363636365,True,True,Likely below
2026-1,Lags 2,28,1972.0000000000002,1943.0776,1747.4096,2138.7456,1635.9439636363636,2250.2112363636365,True,True,Uncertain
2026-1,Lags 3,28,1691.4399999999998,1465.0776,1269.4096,1660.7456000000002,1157.9439636363636,1772.2112363636365,False,True,Likely below
2026-1,Tags 1,28,1446.68,1634.5576,1438.8896,1830.2256000000002,1327.4239636363636,1941.6912363636366,True,True,Uncertain
2026-1,Tags 2,28,1550.16,1617.0376,1421.3696,1812.7056000000002,1309.9039636363636,1924.1712363636366,True,True,Uncertain
2026-1,Tags 3,28,1691.4399999999998,1613.7975999999999,1418.1295999999998,1809.4656,1306.6639636363634,1920.9312363636363,True,True,Uncertain
2026-2,Lags 1,7,1192.0,1529.8411999999998,1290.7576999999999,1768.9246999999998,1056.5011999999997,2003.1812,False,True,Likely below
2026-2,Lags 2,7,1204.0,1529.8411999999998,1290.7576999999999,1768.9246999999998,1056.5011999999997,2003.1812,False,True,Likely below
2026-2,Lags 3,7,1078.0,1501.8411999999998,1262.7576999999999,1740.9246999999998,1028.5011999999997,1975.1812,False,True,Likely below
2026-2,Tags 1,7,1360.0,1543.0811999999999,1303.9977,1782.1646999999998,1069.7411999999997,2016.4212,True,True,Likely below
2026-2,Tags 2,7,1556.2800000000002,1536.6211999999998,1297.5376999999999,1775.7046999999998,1063.2811999999997,2009.9612,True,True,Likely below
2026-2,Tags 3,7,1564.0,1536.9611999999997,1297.8776999999998,1776.0446999999997,1063.6211999999996,2010.3011999999999,True,True,Likely below
2026-2,Lags 1,14,1192.0,1482.9052,1237.1847,1728.6256999999998,1131.5278315789471,1834.2825684210527,False,True,Likely below
2026-2,Lags 2,14,1204.0,1445.9052,1200.1847,1691.6256999999998,1094.5278315789471,1797.2825684210527,True,True,Likely below
2026-2,Lags 3,14,1078.0,1410.4052,1164.6847,1656.1256999999998,1059.0278315789471,1761.7825684210527,False,True,Likely below
2026-2,Tags 1,14,1360.0,1516.1652,1270.4447,1761.8856999999998,1164.7878315789471,1867.5425684210527,True,True,Likely below
2026-2,Tags 2,14,1556.2800000000002,1510.2451999999998,1264.5247,1755.9656999999997,1158.867831578947,1861.6225684210526,True,True,Likely below
2026-2,Tags 3,14,1564.0,1514.7952,1269.0747000000001,1760.5157,1163.4178315789472,1866.1725684210528,True,True,Likely below
2026-2,Lags 1,21,1192.0,1321.2248,1117.3248,1525.1247999999998,1036.6848000000002,1605.7647999999997,True,True,Likely below
2026-2,Lags 2,21,1204.0,1303.2248,1099.3248,1507.1247999999998,1018.6848000000002,1587.7647999999997,True,True,Likely below
2026-2,Lags 3,21,1078.0,1234.2248,1030.3248,1438.1247999999998,949.6848000000002,1518.7647999999997,True,True,Likely below
2026-2,Tags 1,21,1360.0,1564.6248,1360.7248000000002,1768.5248,1280.0848000000003,1849.1647999999998,False,True,Likely below
2026-2,Tags 2,21,1556.2800000000002,1571.1048,1367.2048000000002,1775.0048,1286.5648000000003,1855.6447999999998,True,True,Likely below
2026-2,Tags 3,21,1564.0,1552.2248,1348.3248,1756.1247999999998,1267.6848000000002,1836.7647999999997,True,True,Likely below
2026-2,Lags 1,28,1192.0,1117.3584,908.3562947368423,1326.3605052631578,805.3602181818183,1429.356581818182,True,True,Likely below
2026-2,Lags 2,28,1204.0,1195.3583999999998,986.3562947368421,1404.3605052631576,883.360218181818,1507.3565818181817,True,True,Likely below
2026-2,Lags 3,28,1078.0,1023.3584000000001,814.3562947368423,1232.3605052631578,711.3602181818183,1335.356581818182,True,True,Likely below
2026-2,Tags 1,28,1360.0,1531.9584,1322.9562947368422,1740.9605052631578,1219.9602181818182,1843.9565818181818,True,True,Likely below
2026-2,Tags 2,28,1556.2800000000002,1547.4584,1338.4562947368422,1756.4605052631578,1235.4602181818182,1859.4565818181818,True,True,Likely below
2026-2,Tags 3,28,1564.0,1532.3984,1323.3962947368423,1741.4005052631578,1220.4002181818182,1844.3965818181819,True,True,Likely below
