candidate,family,cycle_id,building_id,review_day,as_of_date,actual_g,predicted_g,error_g
direct_catboost_growth,catboost,2025-5,Lags 3,14,2026-01-09,1182.0,1444.4280202121035,262.42802021210355
direct_catboost_growth,catboost,2025-5,Tags 1,14,2025-11-25,1702.0,1494.4788459442657,-207.5211540557343
direct_catboost_growth,catboost,2025-5,Tags 2,14,2025-11-25,1776.0,1510.270223228407,-265.7297767715929
direct_catboost_growth,catboost,2025-5,Tags 3,14,2025-11-25,1738.0,1507.1942469672033,-230.8057530327967
direct_catboost_growth,catboost,2026-1,Lags 1,14,2026-03-19,1605.9999999999998,1516.4937663613202,-89.50623363867953
direct_catboost_growth,catboost,2026-1,Lags 2,14,2026-03-27,1972.0000000000002,1516.4937663613202,-455.50623363868
direct_catboost_growth,catboost,2026-1,Lags 3,14,2026-04-03,1691.4399999999998,1366.02228085569,-325.4177191443098
direct_catboost_growth,catboost,2026-1,Tags 1,14,2026-02-13,1446.68,1516.4937663613202,69.81376636132018
direct_catboost_growth,catboost,2026-1,Tags 2,14,2026-02-13,1550.16,1516.4937663613202,-33.66623363867984
direct_catboost_growth,catboost,2026-1,Tags 3,14,2026-02-13,1691.4399999999998,1518.23615109561,-173.20384890438982
direct_catboost_growth,catboost,2026-2,Lags 1,14,2026-06-15,1192.0,1587.461775049655,395.461775049655
direct_catboost_growth,catboost,2026-2,Lags 2,14,2026-06-23,1204.0,1571.5631143190487,367.56311431904874
direct_catboost_growth,catboost,2026-2,Lags 3,14,2026-06-29,1078.0,1460.2189596139824,382.2189596139824
direct_catboost_growth,catboost,2026-2,Tags 1,14,2026-05-02,1360.0,1582.1090742051556,222.1090742051556
direct_catboost_growth,catboost,2026-2,Tags 2,14,2026-05-02,1556.2800000000002,1587.8939105253885,31.61391052538829
direct_catboost_growth,catboost,2026-2,Tags 3,14,2026-05-02,1564.0,1587.8939105253885,23.893910525388492
