flock,farm,actual,predicted,prediction_day,error_g,absolute_error_g
2025-4_Tags 2,Tags,1450.0400000000002,1629.6806472571614,1,179.64064725716116,179.64064725716116
2025-4_Tags 2,Tags,1450.0400000000002,1510.945887434195,2,60.90588743419471,60.90588743419471
2025-4_Tags 2,Tags,1450.0400000000002,1513.5506019986924,3,63.51060199869221,63.51060199869221
2025-4_Tags 2,Tags,1450.0400000000002,1516.4081215277815,4,66.36812152778134,66.36812152778134
2025-4_Tags 2,Tags,1450.0400000000002,1516.4081215277815,5,66.36812152778134,66.36812152778134
2025-4_Tags 2,Tags,1450.0400000000002,1526.906182574243,6,76.86618257424288,76.86618257424288
2025-4_Tags 2,Tags,1450.0400000000002,1480.3268066985408,7,30.28680669854066,30.28680669854066
2025-4_Tags 2,Tags,1450.0400000000002,1481.439963706007,8,31.3999637060067,31.3999637060067
2025-4_Tags 2,Tags,1450.0400000000002,1480.983743054647,9,30.943743054646802,30.943743054646802
2025-4_Tags 2,Tags,1450.0400000000002,1482.4326853282275,10,32.392685328227344,32.392685328227344
2025-4_Tags 2,Tags,1450.0400000000002,1482.4326853282275,11,32.392685328227344,32.392685328227344
2025-4_Tags 2,Tags,1450.0400000000002,1482.4326853282275,12,32.392685328227344,32.392685328227344
2025-4_Tags 2,Tags,1450.0400000000002,1482.4326853282275,13,32.392685328227344,32.392685328227344
2025-4_Tags 2,Tags,1450.0400000000002,1482.4326853282275,14,32.392685328227344,32.392685328227344
2025-4_Tags 2,Tags,1450.0400000000002,1482.4326853282275,15,32.392685328227344,32.392685328227344
2025-4_Tags 2,Tags,1450.0400000000002,1482.4326853282275,16,32.392685328227344,32.392685328227344
2025-4_Tags 2,Tags,1450.0400000000002,1482.4326853282275,17,32.392685328227344,32.392685328227344
2025-4_Tags 2,Tags,1450.0400000000002,1485.9604213548696,18,35.920421354869404,35.920421354869404
2025-4_Tags 2,Tags,1450.0400000000002,1485.9604213548696,19,35.920421354869404,35.920421354869404
2025-4_Tags 2,Tags,1450.0400000000002,1485.9604213548696,20,35.920421354869404,35.920421354869404
2025-4_Tags 2,Tags,1450.0400000000002,1485.9604213548696,21,35.920421354869404,35.920421354869404
2025-4_Tags 3,Tags,1293.12,1567.2861473988369,1,274.166147398837,274.166147398837
2025-4_Tags 3,Tags,1293.12,1631.3344083661043,2,338.2144083661044,338.2144083661044
2025-4_Tags 3,Tags,1293.12,1638.7015994858657,3,345.5815994858658,345.5815994858658
2025-4_Tags 3,Tags,1293.12,1642.0798154292706,4,348.95981542927075,348.95981542927075
2025-4_Tags 3,Tags,1293.12,1631.8291801949904,5,338.7091801949905,338.7091801949905
2025-4_Tags 3,Tags,1293.12,1626.6605327905838,6,333.54053279058394,333.54053279058394
2025-4_Tags 3,Tags,1293.12,1487.635432402929,7,194.51543240292904,194.51543240292904
2025-4_Tags 3,Tags,1293.12,1509.5410256910045,8,216.42102569100462,216.42102569100462
2025-4_Tags 3,Tags,1293.12,1509.5410256910045,9,216.42102569100462,216.42102569100462
2025-4_Tags 3,Tags,1293.12,1509.5410256910045,10,216.42102569100462,216.42102569100462
2025-4_Tags 3,Tags,1293.12,1509.5410256910045,11,216.42102569100462,216.42102569100462
2025-4_Tags 3,Tags,1293.12,1505.357965603975,12,212.237965603975,212.237965603975
2025-4_Tags 3,Tags,1293.12,1505.357965603975,13,212.237965603975,212.237965603975
2025-4_Tags 3,Tags,1293.12,1487.9121333480202,14,194.79213334802034,194.79213334802034
2025-4_Tags 3,Tags,1293.12,1504.8021726029092,15,211.6821726029093,211.6821726029093
2025-4_Tags 3,Tags,1293.12,1458.7857905970288,16,165.66579059702894,165.66579059702894
2025-4_Tags 3,Tags,1293.12,1465.5010888691186,17,172.38108886911868,172.38108886911868
2025-4_Tags 3,Tags,1293.12,1463.403523192279,18,170.28352319227906,170.28352319227906
2025-4_Tags 3,Tags,1293.12,1463.403523192279,19,170.28352319227906,170.28352319227906
2025-4_Tags 3,Tags,1293.12,1463.403523192279,20,170.28352319227906,170.28352319227906
2025-4_Tags 3,Tags,1293.12,1461.0823632316478,21,167.96236323164794,167.96236323164794
2025-5_Lags 1,Lags,1306.0,1608.5708020033985,1,302.5708020033985,302.5708020033985
2025-5_Lags 1,Lags,1306.0,1541.3693510169724,2,235.36935101697236,235.36935101697236
2025-5_Lags 1,Lags,1306.0,1453.0182413913087,3,147.01824139130872,147.01824139130872
2025-5_Lags 1,Lags,1306.0,1456.6543662068218,4,150.6543662068218,150.6543662068218
2025-5_Lags 1,Lags,1306.0,1458.8348395763494,5,152.8348395763494,152.8348395763494
2025-5_Lags 1,Lags,1306.0,1460.9124245929636,6,154.9124245929636,154.9124245929636
2025-5_Lags 1,Lags,1306.0,1392.4220775507692,7,86.42207755076925,86.42207755076925
2025-5_Lags 1,Lags,1306.0,1421.3222622084531,8,115.32226220845314,115.32226220845314
