review_day,rows,independent_building_cycles,rmse,cycle_macro_rmse,mae,cycle_macro_mae,r2,bias,worst_cycle_rmse,fold_rmse_sd,fold_rmse_se,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,balanced_target_accuracy,actual_target_hits,candidate
7,31,31,3.5077549485394877,3.3750978796475692,2.613803681304401,2.8548484354006867,-0.19000009220750247,0.47685290950199843,7.016723922229613,2.0479525374096488,0.8360731223486196,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_catboost_peer
14,31,31,3.3899128493016404,3.2531735070648544,2.5679688311635744,2.817694032564631,-0.1113876573673962,0.45622592987921134,7.119310432080687,2.106211989496654,0.8598574440665009,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_catboost_peer
21,31,31,3.3124521872255,3.157179211222575,2.4755272707033833,2.730389098686684,-0.06117678287694894,0.46195960328536034,7.039586406972057,2.124497999361789,0.8673226763333477,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_catboost_peer
28,31,31,2.9959356855207373,2.824125405741515,2.2545839120890356,2.518124316733438,0.13193254323779757,0.5108531185651004,6.796451225802802,2.116951169795397,0.8642416960644459,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_catboost_peer
7,31,31,3.5153430095495715,3.467011242525134,2.6944542663499744,2.9238666472467134,-0.19515413527423964,0.11920068798991482,6.8630405831303545,1.8338926797734283,0.7486835514116947,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_hist_gradient_peer
14,31,31,3.5058002360332603,3.4131423598397626,2.7753701161254765,3.0052807952093894,-0.18867419574119748,0.2773249933865289,7.06248882604258,1.9921704012156176,0.813300160608984,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_hist_gradient_peer
21,31,31,3.441185110740937,3.3261192101092774,2.604793467541087,2.850112498572856,-0.14526126786886517,0.3150552515448741,6.999958497708887,2.0253073635269385,0.8268282688237463,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_hist_gradient_peer
28,31,31,3.1604444350151257,3.029951648846742,2.396512989347264,2.6295140365323837,0.03398288357434798,0.32201382233489784,6.662791287798762,1.9823952931238622,0.8093094894414254,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_hist_gradient_peer
7,31,31,3.367505564185997,3.3153846799052142,2.58899688685437,2.764806279737436,-0.09674369668264671,-0.03738961249210814,6.115216671438831,1.604859805919954,0.6551812722009882,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_lightgbm_peer
14,31,31,3.184029314113808,3.1522019107951333,2.514629733345411,2.7071863726688217,0.019511243181144167,-0.03859485775806605,6.211562447437522,1.6381188509766693,0.6687592204878529,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_lightgbm_peer
21,31,31,3.1209968482062136,3.081614533887859,2.46091773376709,2.654105483200295,0.05794737672752781,-0.03683142144578748,6.132671251691172,1.6427468761140485,0.6706486038384117,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_lightgbm_peer
28,31,31,2.7981906121420788,2.770513779556797,2.232763634799502,2.439666033418392,0.24274335411097947,-0.03261328265650319,5.899143190074506,1.6209187405147447,0.6617373047959826,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_lightgbm_peer
7,31,31,3.367505564185998,3.3153846799052147,2.5889968868543707,2.7648062797374373,-0.09674369668264693,-0.03738961249210994,6.115216671438831,1.6048598059199537,0.6551812722009881,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_xgboost_peer
14,31,31,3.1840293141138085,3.152201910795134,2.514629733345412,2.7071863726688226,0.019511243181143945,-0.03859485775806712,6.211562447437522,1.6381188509766687,0.6687592204878526,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_xgboost_peer
21,31,31,3.1209968482062136,3.081614533887859,2.4609177337670904,2.654105483200295,0.05794737672752781,-0.03683142144578784,6.132671251691172,1.6427468761140482,0.6706486038384116,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_xgboost_peer
28,31,31,2.798190612142079,2.7705137795567976,2.2327636347995026,2.439666033418393,0.24274335411097936,-0.03261328265650463,5.899143190074506,1.6209187405147443,0.6617373047959824,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,residual_xgboost_peer
