review_day,rows,independent_building_cycles,rmse,cycle_macro_rmse,mae,cycle_macro_mae,r2,bias,worst_cycle_rmse,fold_rmse_sd,fold_rmse_se,within_100g_rate,within_200g_rate,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,balanced_target_accuracy,actual_target_hits,candidate
21,31,31,138.31136612750194,123.97602128187093,112.20029216589859,106.1679698412698,0.5087774125278297,-0.4891880184331747,188.29865955720447,49.204092011197105,20.08748644739784,0.4838709677419355,0.8709677419354839,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,historical_remaining_gain
28,31,31,127.06010675698485,129.3240261880174,102.77181644806805,112.1325608058608,0.5854460875304885,-2.2686242467210493,229.48634482629828,52.014358543041006,21.23477295477092,0.5806451612903226,0.8709677419354839,0.9354838709677419,0.967741935483871,0.9333333333333333,1.0,0.9666666666666667,1,historical_remaining_gain
7,31,31,203.53013260457604,169.065492758133,159.2347771515631,147.3217541917816,-0.0637021023124662,-0.9675086256759333,258.52579786902197,97.81137347261084,39.93132600811582,0.45161290322580644,0.6774193548387096,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_biological_ridge
14,31,31,174.49493193372365,165.59584346489203,146.59368544663974,143.5655792616196,0.2181413919977263,25.32066614472823,205.01594860208556,43.35775516436892,17.70072942420434,0.3548387096774194,0.7419354838709677,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_biological_ridge
21,31,31,159.35569322447535,148.52655219224437,129.56856455212395,124.80418791468476,0.3479246932945377,20.179346782165407,200.4685668952991,45.87077505266967,18.72666549750481,0.3870967741935484,0.8064516129032258,1.0,0.967741935483871,1.0,1.0,1.0,1,residual_biological_ridge
28,31,31,129.0874376187987,129.44557107567368,109.29227230831762,115.65509457154972,0.5721115666774692,24.37298886180502,211.69332304299627,49.11573382368333,20.051414368396856,0.5161290322580645,0.9032258064516129,0.967741935483871,0.967741935483871,0.9666666666666667,1.0,0.9833333333333334,1,residual_biological_ridge
7,31,31,210.6349040718105,167.3239907451056,160.91699510613293,144.65835294554088,-0.13926109036951528,13.923382712676247,289.45468246649216,113.33883461825415,46.27038547606876,0.45161290322580644,0.6774193548387096,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_catboost_peer
14,31,31,187.9918426079885,158.89773446223305,150.1637819483191,138.1261891956066,0.09251261673378075,20.82599546335679,252.65485603796503,84.98942451283435,34.69678726487216,0.4838709677419355,0.6129032258064516,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_catboost_peer
21,31,31,143.52898150291983,128.782496370715,116.73683367503332,110.45611954742037,0.47101690580913547,5.760460461397176,199.82559478788605,50.67843008171513,20.68938244425261,0.45161290322580644,0.8387096774193549,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_catboost_peer
28,31,31,120.70833174524302,121.95211477281451,97.84158473838897,104.99571639070899,0.6258574670997037,5.338748529679239,211.1705726129271,47.780995577531506,19.50650976118864,0.6774193548387096,0.9032258064516129,0.967741935483871,0.967741935483871,0.9666666666666667,1.0,0.9833333333333334,1,residual_catboost_peer
7,31,31,223.98084460810702,181.84939033438445,180.88780983010633,164.28481445569307,-0.2882031075204261,23.53839034542528,312.13191340771743,114.14589501022635,46.599866501392505,0.3548387096774194,0.6129032258064516,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_extra_trees_peer
14,31,31,197.63321327337317,166.09100369585744,159.45770686261284,146.72943922562672,-0.002957314678323719,37.819782361373754,268.14639250851064,91.58913664830739,37.39110846173264,0.5161290322580645,0.6129032258064516,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_extra_trees_peer
21,31,31,150.07897247478047,130.70293098866918,122.1415132988669,113.5458670120255,0.421634629572747,22.28740288089684,217.8009857702097,60.97500204129074,24.892940344387505,0.5483870967741935,0.7741935483870968,1.0,0.967741935483871,1.0,1.0,1.0,1,residual_extra_trees_peer
28,31,31,126.90037116117428,127.39153046703763,105.8492429280915,111.01372209098126,0.5864877581816199,11.804018978238402,202.42349541446018,44.51416694685062,18.172832557474766,0.45161290322580644,0.9032258064516129,0.967741935483871,0.967741935483871,0.9666666666666667,1.0,0.9833333333333334,1,residual_extra_trees_peer
7,31,31,211.72620358807384,170.582490530369,161.69378592432975,145.95527540572846,-0.15109669555212468,2.995300550244037,285.2927193157341,110.1251000701998,44.958383840820915,0.41935483870967744,0.6451612903225806,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_hist_gradient_peer
14,31,31,186.57285876195547,160.12249655896235,152.43169603230612,140.93382514850433,0.10616054984490342,2.721043016231783,241.83009422157406,79.51349686372437,32.46124916341921,0.4838709677419355,0.7096774193548387,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_hist_gradient_peer
21,31,31,145.49624454931885,125.99657391597118,116.66922310733257,109.16708006323346,0.4564166397440885,-8.472313408066187,202.6992622383908,60.74359178747781,24.79846750387257,0.4838709677419355,0.8064516129032258,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_hist_gradient_peer
28,31,31,125.06242696443054,125.78529494651205,102.03960909738356,110.22720955051881,0.5983791127953366,5.769655866756678,226.69715376239301,54.46066099687468,22.233471749506073,0.6129032258064516,0.8709677419354839,0.9354838709677419,0.967741935483871,0.9333333333333333,1.0,0.9666666666666667,1,residual_hist_gradient_peer
7,31,31,213.65450001112742,172.28112359673605,163.14083372989455,147.14095692283863,-0.17215940163038357,-0.5615060510522492,279.96861090672587,110.81796124395973,45.24124323053719,0.41935483870967744,0.6451612903225806,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_lightgbm_peer
14,31,31,188.21589225115693,159.87149422045792,150.8220010191801,138.43278134153732,0.09034823149436022,-1.5756446699832807,240.5452788722212,83.29422101822749,34.004723336210546,0.5161290322580645,0.7096774193548387,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_lightgbm_peer
21,31,31,144.08514193965394,126.62075854717402,115.41476754505727,108.3640253794536,0.46690945012527096,-2.3033446898095478,202.5701205623499,56.28932488826858,22.980020657000626,0.4838709677419355,0.8709677419354839,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_lightgbm_peer
28,31,31,123.87848505354404,124.92666411885341,103.07804709399898,110.4572433112054,0.6059472545394273,7.054267473923772,216.39887408369592,49.44478106550125,20.185747342350872,0.5806451612903226,0.8387096774193549,0.9354838709677419,0.967741935483871,0.9333333333333333,1.0,0.9666666666666667,1,residual_lightgbm_peer
7,31,31,236.7604521987265,192.37914381792606,187.8570885453454,170.18852718404014,-0.43939804350166445,6.383377829294263,330.34051212920826,120.46071086724953,49.17787927961631,0.2903225806451613,0.6129032258064516,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_random_forest_peer
14,31,31,203.01134748282635,174.03920708705854,165.19336647245694,152.48188183115423,-0.058286397772388865,21.44502135912961,280.937558357373,87.20817977652395,35.602590308231136,0.45161290322580644,0.6774193548387096,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_random_forest_peer
21,31,31,151.06187148556688,133.32494268839616,124.11685913559573,116.04980291571752,0.4140341473480049,8.346597471758507,206.93970973801595,57.23534316593909,23.366231001607183,0.41935483870967744,0.8064516129032258,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_random_forest_peer
28,31,31,120.4001445809806,119.49947380728456,97.44605294546838,101.9564009751195,0.6277655164876547,5.44408545271471,198.10913245587273,47.449108023580976,19.3710172346621,0.6129032258064516,0.9032258064516129,0.967741935483871,0.967741935483871,0.9666666666666667,1.0,0.9833333333333334,1,residual_random_forest_peer
7,31,31,206.60143053012587,165.21487194000102,157.3032019452078,141.58270610747374,-0.09604714481461651,-4.965084762985997,270.83188096217907,109.49240065806781,44.70008538744054,0.41935483870967744,0.6451612903225806,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_xgboost_peer
14,31,31,181.71242203282685,154.0593619612744,145.46682047052462,133.55927509188447,0.15212501831822367,-1.5003623246135953,232.16151160035656,81.22968555662874,33.16188026341083,0.45161290322580644,0.7096774193548387,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_xgboost_peer
21,31,31,142.9816597184576,125.05448566139216,114.28193129928569,107.31426083222154,0.4750435761639996,-5.948493074112988,202.5022034173561,57.30928984247247,23.396419605887417,0.4838709677419355,0.8387096774193549,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,residual_xgboost_peer
